TIME,Last Time and Sales,CA Bid,CA LTP,CA LTQ,CA Ask,CA Bid Qty,CA Ask Qty,HG Bid,HG LTP,HG LTQ,HG Ask,HG Bid Qty,HG Ask Qty,TF,CHINA,USD JPY,CNY JPY,,,,,,,,,,,
15:10:10,3:10:09 PM,13471.00,13478,1.0000,13476.0000,3.0000,12.00,6114.0000,6114.0000,2.00,6115.00,32.00,38.0,,,,,,,,,,,,,,,
15:10:08,3:10:07 PM,13471.00,13478,1.0000,13476.0000,3.0000,12.00,6114.0000,6114.0000,2.00,6115.00,32.00,38.0,,,,,,,,,,,,,,,
15:10:07,3:10:07 PM,13471.00,13478,1.0000,13476.0000,3.0000,12.00,6114.0000,6114.0000,2.00,6115.00,33.00,38.0,,,,,,,,,,,,,,,
15:10:06,3:10:06 PM,13471.00,13478,1.0000,13476.0000,3.0000,12.00,6114.0000,6114.0000,2.00,6115.00,33.00,37.0,,,,,,,,,,,,,,,
15:10:05,3:10:05 PM,13471.00,13478,1.0000,13476.0000,3.0000,12.00,6114.0000,6115.0000,13.00,6115.00,37.00,39.0,,,,,,,,,,,,,,,
15:10:04,3:10:04 PM,13471.00,13478,1.0000,13476.0000,3.0000,12.00,6114.0000,6115.0000,13.00,6115.00,37.00,38.0,,,,,,,,,,,,,,,
15:10:03,3:10:03 PM,13471.00,13478,1.0000,13476.0000,3.0000,12.00,6114.0000,6115.0000,12.00,6115.00,37.00,38.0,,,,,,,,,,,,,,,
15:10:02,3:10:02 PM,13471.00,13478,1.0000,13476.0000,3.0000,12.00,6114.0000,6115.0000,12.00,6115.00,37.00,37.0,,,,,,,,,,,,,,,
15:10:01,3:10:01 PM,13471.00,13478,1.0000,13476.0000,3.0000,11.00,6114.0000,6115.0000,12.00,6115.00,37.00,37.0,,,,,,,,,,,,,,,
15:10:00,3:10:00 PM,13471.00,13478,1.0000,13476.0000,3.0000,11.00,6114.0000,6115.0000,12.00,6115.00,36.00,39.0,,,,,,,,,,,,,,,
15:09:59,3:09:59 PM,13473.00,13478,1.0000,13476.0000,3.0000,4.00,6115.0000,6116.0000,8.00,6116.00,38.00,49.0,,,,,,,,,,,,,,,
15:09:59,3:09:58 PM,13473.00,13478,1.0000,13476.0000,3.0000,4.00,6115.0000,6116.0000,8.00,6116.00,38.00,49.0,,,,,,,,,,,,,,,
15:09:57,3:09:57 PM,13473.00,13478,1.0000,13476.0000,3.0000,4.00,6115.0000,6116.0000,6.00,6116.00,33.00,54.0,,,,,,,,,,,,,,,
15:09:56,3:09:55 PM,13473.00,13478,1.0000,13476.0000,3.0000,4.00,6115.0000,6116.0000,6.00,6116.00,33.00,54.0,,,,,,,,,,,,,,,
15:09:55,3:09:55 PM,13473.00,13478,1.0000,13476.0000,3.0000,4.00,6115.0000,6116.0000,6.00,6116.00,33.00,54.0,,,,,,,,,,,,,,,
15:09:54,3:09:54 PM,13473.00,13478,1.0000,13476.0000,3.0000,4.00,6115.0000,6116.0000,6.00,6116.00,33.00,54.0,,,,,,,,,,,,,,,
15:09:53,3:09:53 PM,13476.00,13478,1.0000,13482.0000,4.0000,15.00,6116.0000,6117.0000,24.00,6117.00,37.00,52.0,,,,,,,,,,,,,,,
15:09:52,3:09:52 PM,13476.00,13478,1.0000,13482.0000,4.0000,15.00,6116.0000,6117.0000,24.00,6117.00,37.00,52.0,,,,,,,,,,,,,,,
15:09:51,3:09:50 PM,13476.00,13478,1.0000,13482.0000,4.0000,15.00,6116.0000,6117.0000,24.00,6117.00,36.00,52.0,,,,,,,,,,,,,,,
15:09:50,3:09:50 PM,13476.00,13478,1.0000,13482.0000,4.0000,15.00,6116.0000,6117.0000,24.00,6117.00,36.00,52.0,,,,,,,,,,,,,,,
15:09:50,3:09:49 PM,13476.00,13478,1.0000,13482.0000,4.0000,15.00,6116.0000,6117.0000,24.00,6117.00,36.00,52.0,,,,,,,,,,,,,,,
